PickupSector,DisposalSite, Distance (km)
CDN-112,Iberville (PMR),13.161762
CDN-112,Jules-Poitras 1 (AHU),10.103468
CDN-112,Jules-Poitras 2 (SLA),9.938757
CDN-112,Lausanne (MTN),15.685127
CDN-112,Millen (AHU),12.341336
CDN-112,Riverside (VMA),9.546028
CDN-112,Saint-Pierre (LAC),5.231044
CDN-112,Sauvé (AHU),11.19074
CDN-112,Verdun (VER),7.646584
CDN-112,46 ieme (LAC),15.822465
CDN-112,Angrignon (LAS),8.061914
CDN-112,Armand-Chaput (RDP),28.043922
CDN-112,Autoroute 13 (PRF),12.16488
CDN-112,Château Pierrefonds (PRF),25.112713
CDN-112,Lafarge (sud) (MHM),23.355473
CDN-112,Langelier (SLE),18.985982
CDN-112,Newman (S-O),9.570377
CDN-112,Ray-Lawson (ANJ),20.97474
CDN-112,Sartelon (SLA),10.873821
CDN-112,Thimens (SLA),9.297288
CDN-113,St-Michel - Charland (VSP),15.752861
CDN-113,St-Michel - Robert (VSP),14.989474
CDN-113,St-Michel-17ième(Sous-Sol),14.88464
CDN-113,Butler (S-O),7.749175
CDN-113,De la Salle (MHM),14.775937
CDN-113,Fullum (VMA),11.744881
CDN-113,Iberville (PMR),13.527806
CDN-113,Jules-Poitras 1 (AHU),10.488834
CDN-113,Jules-Poitras 2 (SLA),10.324125
CDN-113,Lausanne (MTN),16.070494
CDN-113,Millen (AHU),12.726703
CDN-113,Riverside (VMA),9.912073
CDN-113,Saint-Pierre (LAC),5.597088
CDN-113,Sauvé (AHU),11.576108
CDN-113,Verdun (VER),8.012629
CDN-113,46 ieme (LAC),16.188511
CDN-113,Angrignon (LAS),8.427958
CDN-113,Armand-Chaput (RDP),28.429291
CDN-113,Autoroute 13 (PRF),12.550246
CDN-113,Château Pierrefonds (PRF),25.498082
CDN-113,Lafarge (sud) (MHM),23.74084
CDN-113,Langelier (SLE),19.37135
CDN-113,Newman (S-O),9.936422
CDN-113,Ray-Lawson (ANJ),21.360109
CDN-113,Sartelon (SLA),11.259188
CDN-113,Thimens (SLA),9.682655
CDN-114,St-Michel - Charland (VSP),13.962268
CDN-114,St-Michel - Robert (VSP),13.19888
CDN-114,St-Michel-17ième(Sous-Sol),13.094048
CDN-114,Butler (S-O),8.723171
CDN-114,De la Salle (MHM),15.749932
CDN-114,Fullum (VMA),12.718877
CDN-114,Iberville (PMR),14.501802
CDN-114,Jules-Poitras 1 (AHU),8.698242
CDN-114,Jules-Poitras 2 (SLA),8.533531
CDN-114,Lausanne (MTN),14.279901
CDN-114,Millen (AHU),10.936111
CDN-114,Riverside (VMA),10.886069
CDN-114,Saint-Pierre (LAC),6.571084
